sys_id,sys_class_name,name,asset_tag,serial_number,ip_address,mac_address,fqdn,os,os_version,manufacturer,model_id,cpu_count,ram,disk_space_gb,install_date,last_discovered,sys_updated_on,operational_status,install_status,location,department,owned_by,managed_by,support_group,environment,classification,business_criticality,u_criticality_score,u_asset_subtype,short_description,comments
7a671eea6898425dbd3241a282371c22,cmdb_ci_win_server,DC01-PROD,SRV-DC-0001,SN-DC-770487,10.0.1.38,0c:8c:7d:72:47:34,dc01.corp.acme.com,Windows Server,2022 Standard,Dell,PowerEdge R750,16,65536,500,2023-09-18 00:41:36,2026-03-13 00:41:36,2026-03-14 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,it-admin@acme.com,sysadmin-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,10,Domain Controller,Active Directory Domain Controller,FSMO roles assigned per DR plan
3ffd43764f2641a2950a846d4a7eb98c,cmdb_ci_win_server,DC02-PROD,SRV-DC-0002,SN-DC-131244,10.0.1.33,6f:77:0d:65:d6:70,dc02.corp.acme.com,Windows Server,2022 Standard,Dell,PowerEdge R750,16,65536,500,2021-09-07 00:41:36,2026-03-13 00:41:36,2026-03-14 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,it-admin@acme.com,sysadmin-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,10,Domain Controller,Active Directory Domain Controller,FSMO roles assigned per DR plan
4af52319159042b2878c90de906eb5e6,cmdb_ci_win_server,DC03-PROD,SRV-DC-0003,SN-DC-895667,10.0.1.216,51:d8:ae:8e:4f:6e,dc03.corp.acme.com,Windows Server,2022 Standard,Dell,PowerEdge R750,16,65536,500,2022-04-25 00:41:36,2026-03-14 00:41:36,2026-03-13 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,it-admin@acme.com,sysadmin-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,10,Domain Controller,Active Directory Domain Controller,FSMO roles assigned per DR plan
fdb5760bcb4c450f97cd037f9e708523,cmdb_ci_win_server,DC04-PROD,SRV-DC-0004,SN-DC-498382,10.0.1.34,b7:b0:87:16:eb:3f,dc04.corp.acme.com,Windows Server,2022 Standard,Dell,PowerEdge R750,16,65536,500,2022-01-29 00:41:36,2026-03-14 00:41:36,2026-03-10 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,it-admin@acme.com,sysadmin-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,10,Domain Controller,Active Directory Domain Controller,FSMO roles assigned per DR plan
522388451fb94007b8d7e373dd7a1e4f,cmdb_ci_db_instance,SQLPROD01,SRV-DB-0001,SN-DB-969693,10.0.2.170,b9:62:23:17:74:94,sqlprod01.corp.acme.com,Windows Server,2019 Datacenter,HP,ProLiant DL380 Gen10,32,131072,8000,2024-10-02 00:41:36,2026-03-14 00:41:36,2026-03-14 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,dba@acme.com,dba-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,9,Database Server,Production database — Customer PII,
9bf73a4c18c141a3b1cebcdddb9df8f6,cmdb_ci_db_instance,SQLPROD02,SRV-DB-0002,SN-DB-498591,10.0.2.81,e8:ba:53:bd:b5:6b,sqlprod02.corp.acme.com,Windows Server,2019 Datacenter,HP,ProLiant DL380 Gen10,32,131072,8000,2021-06-11 00:41:36,2026-03-13 00:41:36,2026-03-14 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,dba@acme.com,dba-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,9,Database Server,Production database — Order Transactions,
ffe5abd4a6db4da49eb6e3c722b56527,cmdb_ci_db_instance,ORAPROD01,SRV-DB-0003,SN-DB-738720,10.0.2.172,57:7d:53:ec:c2:8a,oraprod01.corp.acme.com,Windows Server,2019 Datacenter,HP,ProLiant DL380 Gen10,32,131072,8000,2021-08-12 00:41:36,2026-03-14 00:41:36,2026-03-12 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,dba@acme.com,dba-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,9,Database Server,Production database — ERP Core,
d025b409bcbb4f2ead6622961f003b9d,cmdb_ci_db_instance,ORAPROD02,SRV-DB-0004,SN-DB-983794,10.0.2.206,1c:75:10:a1:cd:89,oraprod02.corp.acme.com,Windows Server,2019 Datacenter,HP,ProLiant DL380 Gen10,32,131072,8000,2024-10-30 00:41:36,2026-03-14 00:41:36,2026-03-12 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,dba@acme.com,dba-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,9,Database Server,Production database — ERP Reporting,
b58f59eaac644e03a81bb1d5de766be8,cmdb_ci_db_instance,PGPROD01,SRV-DB-0005,SN-DB-322955,10.0.2.177,ff:ca:ea:49:87:47,pgprod01.corp.acme.com,RHEL,8.7,HP,ProLiant DL380 Gen10,32,131072,8000,2023-10-26 00:41:36,2026-03-13 00:41:36,2026-03-11 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,dba@acme.com,dba-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,9,Database Server,Production database — DevOps Data,
98825f53b99e4929b3cb0eaa832dc86b,cmdb_ci_db_instance,PGPROD02,SRV-DB-0006,SN-DB-711878,10.0.2.112,b9:70:46:fc:2e:18,pgprod02.corp.acme.com,RHEL,8.7,HP,ProLiant DL380 Gen10,32,131072,8000,2024-08-02 00:41:36,2026-03-14 00:41:36,2026-03-13 00:41:36,Operational,Installed,DC-NJ-Primary,IT Infrastructure,dba@acme.com,dba-team@acme.com,Tier3-NetOps,Production,Highly Confidential,Critical,9,Database Server,Production database — Analytics DW,
